SurveyStepResultKey                 , SurveyResultKey                     , ParticipantIdentifier, ParticipantID                       , StepIdentifier, StartDate                , EndDate
0f704607-a980-4bc0-bcc0-18d316e35fc8, 5b829dd3-ab2f-44ff-b429-c5cc71eebdf9, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, INTRO         , 2025-02-19T07:45:40-05:00, 2025-02-19T07:46:34-05:00
5babc9f2-12e6-4db0-aa8d-c648d49a4809, 5b829dd3-ab2f-44ff-b429-c5cc71eebdf9, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, Q1_MOOD       , 2025-02-19T07:46:34-05:00, 2025-02-19T07:47:14-05:00
4bc76365-754f-4ce8-9029-39b95f9307b7, 5b829dd3-ab2f-44ff-b429-c5cc71eebdf9, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, Q2_BURDEN     , 2025-02-19T07:47:14-05:00, 2025-02-19T07:48:21-05:00
f7891607-3974-4bd1-8f6e-2e3e9f3ca05b, 5b829dd3-ab2f-44ff-b429-c5cc71eebdf9, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, END           , 2025-02-19T07:48:21-05:00, 2025-02-19T07:48:54-05:00
2d7d3dc3-fc5f-4154-8db0-2bf8ec820cd8, 8f796923-0f8a-4f32-b3f5-934141bb5ff1, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, INTRO         , 2025-02-27T06:23:40-05:00, 2025-02-27T06:24:54-05:00
236fb692-3e74-4c09-a61c-7002a9afedcf, 8f796923-0f8a-4f32-b3f5-934141bb5ff1, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, Q1_MOOD       , 2025-02-27T06:24:54-05:00, 2025-02-27T06:25:43-05:00
11cb898a-fd35-4f1c-91ae-448181f2b587, 8f796923-0f8a-4f32-b3f5-934141bb5ff1, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, Q2_BURDEN     , 2025-02-27T06:25:43-05:00, 2025-02-27T06:26:53-05:00
9b3ab418-9d7d-4d17-8f83-6d57270b1b6c, 8f796923-0f8a-4f32-b3f5-934141bb5ff1, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, END           , 2025-02-27T06:26:53-05:00, 2025-02-27T06:27:41-05:00
ea3a7e23-4c16-40f5-9387-00f82e4d8d88, 5ed2731c-df17-473f-8409-e24c29294ac1, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, INTRO         , 2025-05-20T14:59:40-04:00, 2025-05-20T15:00:04-04:00
d97f14f1-c211-412e-bbca-1751ffa4a711, 5ed2731c-df17-473f-8409-e24c29294ac1, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, Q1_MOOD       , 2025-05-20T15:00:04-04:00, 2025-05-20T15:00:19-04:00
9dc5b3b5-f84a-4d74-8a10-ac91fcb6ca4c, 5ed2731c-df17-473f-8409-e24c29294ac1, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, Q2_BURDEN     , 2025-05-20T15:00:19-04:00, 2025-05-20T15:00:31-04:00
2e51f209-0e23-4e4b-9b27-e274c90b2ecb, 5ed2731c-df17-473f-8409-e24c29294ac1, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, END           , 2025-05-20T15:00:31-04:00, 2025-05-20T15:01:14-04:00
4e35d826-6148-4853-9cd5-685a11d73fdf, e259bb09-397c-428f-b791-d86e40c17136, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, INTRO         , 2025-08-08T16:22:40-04:00, 2025-08-08T16:22:53-04:00
5d10bb6d-7513-4a5c-905c-eb69c6f49796, e259bb09-397c-428f-b791-d86e40c17136, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, Q1_MOOD       , 2025-08-08T16:22:53-04:00, 2025-08-08T16:24:01-04:00
9c4996b7-2452-4946-8923-c97b25cf5317, e259bb09-397c-428f-b791-d86e40c17136, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, Q2_BURDEN     , 2025-08-08T16:24:01-04:00, 2025-08-08T16:24:09-04:00
7f1a6948-5c68-4818-a982-e647116fb87f, e259bb09-397c-428f-b791-d86e40c17136, P0001                , 84bf7b38-130c-49cc-bf18-3aad6494196f, END           , 2025-08-08T16:24:09-04:00, 2025-08-08T16:24:24-04:00
dd1848f6-387a-4842-9c09-2398547d971d, 170b00d8-19ad-4d4c-8113-f7c397a631c8, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, INTRO         , 2025-05-10T08:38:40-04:00, 2025-05-10T08:39:44-04:00
f9c2d4b3-b460-4600-9784-65e5a8b6e31b, 170b00d8-19ad-4d4c-8113-f7c397a631c8, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, Q1_MOOD       , 2025-05-10T08:39:44-04:00, 2025-05-10T08:40:53-04:00
b01868b2-e047-4202-8ea7-3d2d366001ab, 170b00d8-19ad-4d4c-8113-f7c397a631c8, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, Q2_BURDEN     , 2025-05-10T08:40:53-04:00, 2025-05-10T08:41:12-04:00
9b2d3cf0-db2e-441e-8177-ecfcdc52aa82, 170b00d8-19ad-4d4c-8113-f7c397a631c8, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, END           , 2025-05-10T08:41:12-04:00, 2025-05-10T08:41:47-04:00
424fb8e8-6f79-44ce-914e-a952731b261c, c50ee4ff-ebaf-4270-b58e-acd5bf5ccb11, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, INTRO         , 2025-05-16T06:30:40-04:00, 2025-05-16T06:31:06-04:00
850e83b1-39c2-44eb-877a-d5a603a49e46, c50ee4ff-ebaf-4270-b58e-acd5bf5ccb11, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, Q1_MOOD       , 2025-05-16T06:31:06-04:00, 2025-05-16T06:31:48-04:00
3f8f88f0-5c3b-4e1a-924c-87f635019040, c50ee4ff-ebaf-4270-b58e-acd5bf5ccb11, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, Q2_BURDEN     , 2025-05-16T06:31:48-04:00, 2025-05-16T06:32:32-04:00
683bdb25-ec9e-4621-93af-e65fe8685069, c50ee4ff-ebaf-4270-b58e-acd5bf5ccb11, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, END           , 2025-05-16T06:32:32-04:00, 2025-05-16T06:33:26-04:00
c60818e0-e7e0-4b48-8bf1-949285342263, 77fa18fd-fe4c-4c6d-8c4e-a743ca1362f5, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, INTRO         , 2025-08-06T20:53:40-04:00, 2025-08-06T20:54:55-04:00
dd537b53-e1d0-4dc4-9fcc-4034a1fa63f0, 77fa18fd-fe4c-4c6d-8c4e-a743ca1362f5, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, Q1_MOOD       , 2025-08-06T20:54:55-04:00, 2025-08-06T20:55:15-04:00
2982e4c6-52c3-44e5-9835-e4eb694c2ca8, 77fa18fd-fe4c-4c6d-8c4e-a743ca1362f5, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, Q2_BURDEN     , 2025-08-06T20:55:15-04:00, 2025-08-06T20:55:58-04:00
98cbd76a-fdaf-4955-af5f-3b5f1187e2f7, 77fa18fd-fe4c-4c6d-8c4e-a743ca1362f5, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, END           , 2025-08-06T20:55:58-04:00, 2025-08-06T20:56:43-04:00
1750219c-7afe-4a7f-967d-9f87af7b3584, 7711ac27-d0e5-4f60-8c11-e4b5ca8e7955, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, INTRO         , 2025-09-09T06:44:40-04:00, 2025-09-09T06:45:19-04:00
f56555a9-8f50-4c55-a722-b35c5069c29e, 7711ac27-d0e5-4f60-8c11-e4b5ca8e7955, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, Q1_MOOD       , 2025-09-09T06:45:19-04:00, 2025-09-09T06:46:18-04:00
6faf147d-141b-4472-bb6f-ebb4f641abe9, 7711ac27-d0e5-4f60-8c11-e4b5ca8e7955, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, Q2_BURDEN     , 2025-09-09T06:46:18-04:00, 2025-09-09T06:46:56-04:00
741b8378-5ff6-4680-89a5-b9175f26eed9, 7711ac27-d0e5-4f60-8c11-e4b5ca8e7955, P0002                , 6d43b916-b00c-4c03-9950-d5289331ebae, END           , 2025-09-09T06:46:56-04:00, 2025-09-09T06:48:09-04:00
b1f68c1f-7586-4897-aa38-57cb5e8e504d, 3f50c184-320a-4736-b049-229ffca68af6, P0003                , f557d92d-a0d5-4229-bbf4-2d8edd9d8025, INTRO         , 2025-07-18T20:24:10-04:00, 2025-07-18T20:24:22-04:00
b04f2299-ee3f-403b-ae0d-6011398d2c3f, 3f50c184-320a-4736-b049-229ffca68af6, P0003                , f557d92d-a0d5-4229-bbf4-2d8edd9d8025, Q1_MOOD       , 2025-07-18T20:24:22-04:00, 2025-07-18T20:25:37-04:00
67c03180-fcd2-4255-839a-43f498fe3dcf, 3f50c184-320a-4736-b049-229ffca68af6, P0003                , f557d92d-a0d5-4229-bbf4-2d8edd9d8025, Q2_BURDEN     , 2025-07-18T20:25:37-04:00, 2025-07-18T20:26:44-04:00
