ParticipantIdentifier,NHANES_SEQN
P0001,93703
P0002,93704
P0003,93705
P0004,93706
P0005,93707
P0006,93708
P0007,93709
P0008,93710
P0009,93711
P0010,93712
P0011,93713
P0012,93714
P0013,93715
P0014,93716
P0015,93717
P0016,93718
P0017,93719
P0018,93720
P0019,93721
P0020,93722
P0021,93723
P0022,93724
P0023,93725
P0024,93726
P0025,93727
P0026,93728
P0027,93729
P0028,93730
P0029,93731
P0030,93732
P0031,93733
P0032,93735
P0033,93736
P0034,93737
P0035,93738
P0036,93739
P0037,93740
P0038,93741
P0039,93742
P0040,93743
P0041,93744
P0042,93745
P0043,93746
P0044,93747
P0045,93748
P0046,93749
P0047,93751
P0048,93752
P0049,93753
P0050,93754
P0051,93755
P0052,93756
P0053,93757
P0054,93758
P0055,93759
P0056,93760
P0057,93761
P0058,93762
P0059,93763
P0060,93764
P0061,93765
P0062,93766
P0063,93767
P0064,93768
P0065,93769
P0066,93770
P0067,93771
P0068,93772
P0069,93773
P0070,93774
P0071,93775
P0072,93776
P0073,93777
P0074,93778
P0075,93779
P0076,93780
P0077,93781
P0078,93782
P0079,93783
P0080,93784
P0081,93785
P0082,93787
P0083,93788
P0084,93789
P0085,93790
P0086,93791
P0087,93792
P0088,93793
P0089,93794
P0090,93795
P0091,93796
P0092,93797
P0093,93798
P0094,93799
P0095,93800
P0096,93801
P0097,93802
P0098,93803
P0099,93804
P0100,93805
P0101,93806
P0102,93807
P0103,93808
P0104,93809
P0105,93810
P0106,93811
P0107,93812
P0108,93813
P0109,93814
P0110,93815
P0111,93816
P0112,93817
P0113,93818
P0114,93819
P0115,93820
P0116,93821
P0117,93822
P0118,93823
P0119,93824
P0120,93825
P0121,93827
P0122,93828
P0123,93829
P0124,93830
P0125,93831
P0126,93832
P0127,93833
P0128,93834
P0129,93836
P0130,93837
P0131,93838
P0132,93839
P0133,93840
P0134,93841
P0135,93842
P0136,93843
P0137,93844
P0138,93845
P0139,93846
P0140,93847
P0141,93848
P0142,93849
P0143,93850
P0144,93851
P0145,93852
P0146,93853
P0147,93854
P0148,93855
P0149,93856
P0150,93857
P0151,93858
P0152,93859
P0153,93861
P0154,93862
P0155,93863
P0156,93864
P0157,93865
P0158,93866
P0159,93867
P0160,93868
P0161,93869
P0162,93870
P0163,93871
P0164,93873
P0165,93874
P0166,93875
P0167,93876
P0168,93877
P0169,93878
P0170,93879
P0171,93880
P0172,93881
P0173,93883
P0174,93884
P0175,93885
P0176,93887
P0177,93888
P0178,93890
P0179,93891
P0180,93892
P0181,93893
P0182,93894
P0183,93895
P0184,93896
P0185,93897
P0186,93898
P0187,93899
P0188,93900
P0189,93901
P0190,93902
P0191,93903
P0192,93904
P0193,93905
P0194,93906
P0195,93907
P0196,93908
P0197,93909
P0198,93911
P0199,93912
P0200,93913
P0201,93914
P0202,93915
P0203,93916
P0204,93917
P0205,93918
P0206,93919
P0207,93920
P0208,93921
P0209,93922
P0210,93923
P0211,93924
P0212,93925
P0213,93926
P0214,93927
P0215,93928
P0216,93929
P0217,93930
P0218,93931
P0219,93932
P0220,93934
P0221,93935
P0222,93936
P0223,93937
P0224,93938
P0225,93939
P0226,93940
P0227,93941
P0228,93942
P0229,93944
P0230,93945
P0231,93946
P0232,93947
P0233,93948
P0234,93949
P0235,93950
P0236,93951
P0237,93952
P0238,93953
P0239,93954
P0240,93955
P0241,93957
P0242,93958
P0243,93959
P0244,93960
P0245,93962
P0246,93963
P0247,93964
P0248,93965
P0249,93966
P0250,93967
P0251,93968
P0252,93969
P0253,93970
P0254,93971
P0255,93972
P0256,93973
P0257,93974
P0258,93975
P0259,93976
P0260,93977
P0261,93978
P0262,93979
P0263,93980
P0264,93981
P0265,93982
P0266,93983
P0267,93984
P0268,93985
P0269,93986
P0270,93987
P0271,93988
P0272,93989
P0273,93990
P0274,93991
P0275,93992
P0276,93993
P0277,93994
P0278,93995
P0279,93996
P0280,93997
P0281,93998
P0282,93999
P0283,94001
P0284,94002
P0285,94003
P0286,94004
P0287,94005
P0288,94006
P0289,94007
P0290,94008
P0291,94009
P0292,94010
P0293,94011
P0294,94012
P0295,94013
P0296,94014
P0297,94015
P0298,94016
P0299,94017
P0300,94019
P0301,94020
P0302,94021
P0303,94022
P0304,94024
P0305,94025
P0306,94026
P0307,94027
P0308,94028
P0309,94029
P0310,94030
P0311,94031
P0312,94032
P0313,94033
P0314,94034
P0315,94035
P0316,94036
P0317,94037
P0318,94038
P0319,94039
P0320,94040
P0321,94041
P0322,94042
P0323,94043
P0324,94044
P0325,94045
P0326,94046
P0327,94047
P0328,94048
P0329,94049
P0330,94050
P0331,94051
P0332,94052
P0333,94053
P0334,94054
P0335,94055
P0336,94056
P0337,94057
P0338,94058
P0339,94059
P0340,94060
P0341,94061
P0342,94062
P0343,94063
P0344,94064
P0345,94065
P0346,94066
P0347,94067
P0348,94068
P0349,94069
P0350,94070
P0351,94071
P0352,94072
P0353,94073
P0354,94074
P0355,94075
P0356,94076
P0357,94078
P0358,94079
P0359,94080
P0360,94081
P0361,94082
P0362,94083
P0363,94084
P0364,94086
P0365,94087
P0366,94088
P0367,94089
P0368,94090
P0369,94091
P0370,94092
P0371,94093
P0372,94094
P0373,94095
P0374,94096
P0375,94097
P0376,94098
P0377,94099
P0378,94100
P0379,94101
P0380,94103
P0381,94104
P0382,94105
P0383,94106
P0384,94107
P0385,94108
P0386,94109
P0387,94110
P0388,94111
P0389,94112
P0390,94113
P0391,94114
P0392,94115
P0393,94116
P0394,94117
P0395,94118
P0396,94119
P0397,94121
P0398,94122
P0399,94124
P0400,94125
P0401,94126
P0402,94127
P0403,94128
P0404,94129
P0405,94130
P0406,94131
P0407,94132
P0408,94133
P0409,94134
P0410,94135
P0411,94136
P0412,94137
P0413,94138
P0414,94139
P0415,94140
P0416,94141
P0417,94142
P0418,94143
P0419,94144
P0420,94145
P0421,94146
P0422,94148
P0423,94149
P0424,94150
P0425,94151
P0426,94152
P0427,94153
P0428,94154
P0429,94155
P0430,94156
P0431,94157
P0432,94158
P0433,94159
P0434,94160
P0435,94161
P0436,94162
P0437,94163
P0438,94164
P0439,94165
P0440,94166
P0441,94167
P0442,94168
P0443,94169
P0444,94170
P0445,94171
P0446,94172
P0447,94173
P0448,94174
P0449,94175
P0450,94176
P0451,94177
P0452,94178
P0453,94179
P0454,94180
P0455,94181
P0456,94182
P0457,94183
P0458,94184
P0459,94185
P0460,94186
P0461,94187
P0462,94189
P0463,94190
P0464,94191
P0465,94192
P0466,94193
P0467,94194
P0468,94195
P0469,94196
P0470,94197
P0471,94198
P0472,94199
P0473,94200
P0474,94201
P0475,94202
P0476,94203
P0477,94205
P0478,94206
P0479,94207
P0480,94208
P0481,94209
P0482,94210
P0483,94211
P0484,94212
P0485,94214
P0486,94215
P0487,94216
P0488,94217
P0489,94218
P0490,94219
P0491,94220
P0492,94221
P0493,94222
P0494,94223
P0495,94224
P0496,94225
P0497,94226
P0498,94227
P0499,94228
P0500,94229
P0501,94230
P0502,94232
P0503,94233
P0504,94234
P0505,94235
P0506,94236
P0507,94237
P0508,94238
P0509,94241
P0510,94242
P0511,94243
P0512,94245
P0513,94246
P0514,94247
P0515,94248
P0516,94249
P0517,94250
P0518,94251
P0519,94252
P0520,94253
P0521,94254
P0522,94255
P0523,94256
P0524,94257
P0525,94258
P0526,94259
P0527,94260
P0528,94261
P0529,94262
P0530,94263
P0531,94264
P0532,94265
P0533,94266
P0534,94267
P0535,94268
P0536,94269
P0537,94270
P0538,94271
P0539,94272
P0540,94273
P0541,94274
P0542,94275
P0543,94276
P0544,94277
P0545,94278
P0546,94279
P0547,94280
P0548,94281
P0549,94282
P0550,94283
P0551,94284
P0552,94285
P0553,94286
P0554,94287
P0555,94290
P0556,94291
P0557,94292
P0558,94293
P0559,94294
P0560,94295
P0561,94296
P0562,94298
P0563,94299
P0564,94300
P0565,94301
P0566,94302
P0567,94303
P0568,94304
P0569,94305
P0570,94306
P0571,94307
P0572,94308
P0573,94309
P0574,94310
P0575,94311
P0576,94312
P0577,94313
P0578,94314
P0579,94315
P0580,94317
P0581,94318
P0582,94319
P0583,94320
P0584,94321
P0585,94322
P0586,94323
P0587,94324
P0588,94325
P0589,94326
P0590,94327
P0591,94328
P0592,94329
P0593,94330
P0594,94331
P0595,94333
P0596,94335
P0597,94336
P0598,94337
P0599,94338
P0600,94339
P0601,94340
P0602,94341
P0603,94342
P0604,94343
P0605,94344
P0606,94345
P0607,94346
P0608,94347
P0609,94348
P0610,94349
P0611,94350
P0612,94351
P0613,94352
P0614,94353
P0615,94354
P0616,94355
P0617,94356
P0618,94357
P0619,94358
P0620,94359
P0621,94360
P0622,94361
P0623,94362
P0624,94364
P0625,94365
P0626,94366
P0627,94367
P0628,94368
P0629,94369
P0630,94370
P0631,94371
P0632,94372
P0633,94373
P0634,94374
P0635,94375
P0636,94376
P0637,94377
P0638,94378
P0639,94379
P0640,94380
P0641,94381
P0642,94382
P0643,94383
P0644,94384
P0645,94385
P0646,94386
P0647,94387
P0648,94388
P0649,94389
P0650,94390
P0651,94391
P0652,94392
P0653,94393
P0654,94394
P0655,94395
P0656,94396
P0657,94397
P0658,94398
P0659,94399
P0660,94400
P0661,94401
P0662,94402
P0663,94403
P0664,94404
P0665,94405
P0666,94406
P0667,94407
P0668,94408
P0669,94409
P0670,94410
P0671,94411
P0672,94412
P0673,94413
P0674,94414
P0675,94415
P0676,94416
P0677,94417
P0678,94418
P0679,94419
P0680,94420
P0681,94421
P0682,94422
P0683,94423
